clean,corrupted,correct_idx,template_label
The testing lasted from the year 1393 to the year 13,The testing lasted from the year 1301 to the year 13,93,9
The attack lasted from the year 1170 to the year 11,The attack lasted from the year 1101 to the year 11,70,7
The existence lasted from the year 1428 to the year 14,The existence lasted from the year 1401 to the year 14,28,2
The trip lasted from the year 1260 to the year 12,The trip lasted from the year 1201 to the year 12,60,6
The employment lasted from the year 1352 to the year 13,The employment lasted from the year 1301 to the year 13,52,5
The attack lasted from the year 1251 to the year 12,The attack lasted from the year 1201 to the year 12,51,5
The employment lasted from the year 1346 to the year 13,The employment lasted from the year 1301 to the year 13,46,4
The rise lasted from the year 1581 to the year 15,The rise lasted from the year 1501 to the year 15,81,8
The fall lasted from the year 1436 to the year 14,The fall lasted from the year 1401 to the year 14,36,3
The attack lasted from the year 1339 to the year 13,The attack lasted from the year 1301 to the year 13,39,3
The order lasted from the year 1787 to the year 17,The order lasted from the year 1701 to the year 17,87,8
The fall lasted from the year 1289 to the year 12,The fall lasted from the year 1201 to the year 12,89,8
The contact lasted from the year 1530 to the year 15,The contact lasted from the year 1501 to the year 15,30,3
The employment lasted from the year 1721 to the year 17,The employment lasted from the year 1701 to the year 17,21,2
The progress lasted from the year 1753 to the year 17,The progress lasted from the year 1701 to the year 17,53,5
The fall lasted from the year 1407 to the year 14,The fall lasted from the year 1401 to the year 14,7,0
The plan lasted from the year 1756 to the year 17,The plan lasted from the year 1701 to the year 17,56,5
The development lasted from the year 1397 to the year 13,The development lasted from the year 1301 to the year 13,97,9
The impact lasted from the year 1749 to the year 17,The impact lasted from the year 1701 to the year 17,49,4
The deal lasted from the year 1187 to the year 11,The deal lasted from the year 1101 to the year 11,87,8
The rise lasted from the year 1223 to the year 12,The rise lasted from the year 1201 to the year 12,23,2
The rule lasted from the year 1795 to the year 17,The rule lasted from the year 1701 to the year 17,95,9
The growth lasted from the year 1455 to the year 14,The growth lasted from the year 1401 to the year 14,55,5
The impact lasted from the year 1626 to the year 16,The impact lasted from the year 1601 to the year 16,26,2
The work lasted from the year 1636 to the year 16,The work lasted from the year 1601 to the year 16,36,3
The development lasted from the year 1376 to the year 13,The development lasted from the year 1301 to the year 13,76,7
The fall lasted from the year 1682 to the year 16,The fall lasted from the year 1601 to the year 16,82,8
The deal lasted from the year 1667 to the year 16,The deal lasted from the year 1601 to the year 16,67,6
The operation lasted from the year 1735 to the year 17,The operation lasted from the year 1701 to the year 17,35,3
The development lasted from the year 1703 to the year 17,The development lasted from the year 1701 to the year 17,3,0
The quest lasted from the year 1535 to the year 15,The quest lasted from the year 1501 to the year 15,35,3
The progress lasted from the year 1458 to the year 14,The progress lasted from the year 1401 to the year 14,58,5
The operation lasted from the year 1371 to the year 13,The operation lasted from the year 1301 to the year 13,71,7
The effect lasted from the year 1754 to the year 17,The effect lasted from the year 1701 to the year 17,54,5
The study lasted from the year 1410 to the year 14,The study lasted from the year 1401 to the year 14,10,1
The development lasted from the year 1770 to the year 17,The development lasted from the year 1701 to the year 17,70,7
The impact lasted from the year 1351 to the year 13,The impact lasted from the year 1301 to the year 13,51,5
The order lasted from the year 1461 to the year 14,The order lasted from the year 1401 to the year 14,61,6
The campaign lasted from the year 1537 to the year 15,The campaign lasted from the year 1501 to the year 15,37,3
The practice lasted from the year 1314 to the year 13,The practice lasted from the year 1301 to the year 13,14,1
The case lasted from the year 1431 to the year 14,The case lasted from the year 1401 to the year 14,31,3
The progress lasted from the year 1220 to the year 12,The progress lasted from the year 1201 to the year 12,20,2
The impact lasted from the year 1560 to the year 15,The impact lasted from the year 1501 to the year 15,60,6
The contract lasted from the year 1366 to the year 13,The contract lasted from the year 1301 to the year 13,66,6
The practice lasted from the year 1257 to the year 12,The practice lasted from the year 1201 to the year 12,57,5
The program lasted from the year 1357 to the year 13,The program lasted from the year 1301 to the year 13,57,5
The marriage lasted from the year 1527 to the year 15,The marriage lasted from the year 1501 to the year 15,27,2
The study lasted from the year 1407 to the year 14,The study lasted from the year 1401 to the year 14,7,0
The order lasted from the year 1287 to the year 12,The order lasted from the year 1201 to the year 12,87,8
The employment lasted from the year 1765 to the year 17,The employment lasted from the year 1701 to the year 17,65,6
The work lasted from the year 1185 to the year 11,The work lasted from the year 1101 to the year 11,85,8
The progress lasted from the year 1605 to the year 16,The progress lasted from the year 1601 to the year 16,5,0
The campaign lasted from the year 1170 to the year 11,The campaign lasted from the year 1101 to the year 11,70,7
The fall lasted from the year 1558 to the year 15,The fall lasted from the year 1501 to the year 15,58,5
The campaign lasted from the year 1405 to the year 14,The campaign lasted from the year 1401 to the year 14,5,0
The order lasted from the year 1466 to the year 14,The order lasted from the year 1401 to the year 14,66,6
The trip lasted from the year 1281 to the year 12,The trip lasted from the year 1201 to the year 12,81,8
The testing lasted from the year 1517 to the year 15,The testing lasted from the year 1501 to the year 15,17,1
The employment lasted from the year 1139 to the year 11,The employment lasted from the year 1101 to the year 11,39,3
The progress lasted from the year 1443 to the year 14,The progress lasted from the year 1401 to the year 14,43,4
The marriage lasted from the year 1694 to the year 16,The marriage lasted from the year 1601 to the year 16,94,9
The attack lasted from the year 1373 to the year 13,The attack lasted from the year 1301 to the year 13,73,7
The contract lasted from the year 1709 to the year 17,The contract lasted from the year 1701 to the year 17,9,0
The testing lasted from the year 1785 to the year 17,The testing lasted from the year 1701 to the year 17,85,8
The shift lasted from the year 1284 to the year 12,The shift lasted from the year 1201 to the year 12,84,8
The fall lasted from the year 1354 to the year 13,The fall lasted from the year 1301 to the year 13,54,5
The process lasted from the year 1279 to the year 12,The process lasted from the year 1201 to the year 12,79,7
The process lasted from the year 1396 to the year 13,The process lasted from the year 1301 to the year 13,96,9
The work lasted from the year 1254 to the year 12,The work lasted from the year 1201 to the year 12,54,5
The marriage lasted from the year 1549 to the year 15,The marriage lasted from the year 1501 to the year 15,49,4
The operation lasted from the year 1520 to the year 15,The operation lasted from the year 1501 to the year 15,20,2
The operation lasted from the year 1150 to the year 11,The operation lasted from the year 1101 to the year 11,50,5
The effect lasted from the year 1214 to the year 12,The effect lasted from the year 1201 to the year 12,14,1
The growth lasted from the year 1214 to the year 12,The growth lasted from the year 1201 to the year 12,14,1
The operation lasted from the year 1321 to the year 13,The operation lasted from the year 1301 to the year 13,21,2
The progress lasted from the year 1669 to the year 16,The progress lasted from the year 1601 to the year 16,69,6
The shift lasted from the year 1393 to the year 13,The shift lasted from the year 1301 to the year 13,93,9
The effect lasted from the year 1402 to the year 14,The effect lasted from the year 1401 to the year 14,2,0
The practice lasted from the year 1409 to the year 14,The practice lasted from the year 1401 to the year 14,9,0
The rule lasted from the year 1523 to the year 15,The rule lasted from the year 1501 to the year 15,23,2
The fall lasted from the year 1417 to the year 14,The fall lasted from the year 1401 to the year 14,17,1
The riot lasted from the year 1130 to the year 11,The riot lasted from the year 1101 to the year 11,30,3
The campaign lasted from the year 1648 to the year 16,The campaign lasted from the year 1601 to the year 16,48,4
The contact lasted from the year 1747 to the year 17,The contact lasted from the year 1701 to the year 17,47,4
The impact lasted from the year 1734 to the year 17,The impact lasted from the year 1701 to the year 17,34,3
The case lasted from the year 1239 to the year 12,The case lasted from the year 1201 to the year 12,39,3
The tests lasted from the year 1756 to the year 17,The tests lasted from the year 1701 to the year 17,56,5
The trial lasted from the year 1647 to the year 16,The trial lasted from the year 1601 to the year 16,47,4
The order lasted from the year 1520 to the year 15,The order lasted from the year 1501 to the year 15,20,2
The plan lasted from the year 1363 to the year 13,The plan lasted from the year 1301 to the year 13,63,6
The employment lasted from the year 1495 to the year 14,The employment lasted from the year 1401 to the year 14,95,9
The quest lasted from the year 1694 to the year 16,The quest lasted from the year 1601 to the year 16,94,9
The process lasted from the year 1265 to the year 12,The process lasted from the year 1201 to the year 12,65,6
The study lasted from the year 1480 to the year 14,The study lasted from the year 1401 to the year 14,80,8
The tests lasted from the year 1730 to the year 17,The tests lasted from the year 1701 to the year 17,30,3
The program lasted from the year 1732 to the year 17,The program lasted from the year 1701 to the year 17,32,3
The growth lasted from the year 1617 to the year 16,The growth lasted from the year 1601 to the year 16,17,1
The quest lasted from the year 1273 to the year 12,The quest lasted from the year 1201 to the year 12,73,7
The marriage lasted from the year 1251 to the year 12,The marriage lasted from the year 1201 to the year 12,51,5
The practice lasted from the year 1596 to the year 15,The practice lasted from the year 1501 to the year 15,96,9
The case lasted from the year 1403 to the year 14,The case lasted from the year 1401 to the year 14,3,0
The rise lasted from the year 1479 to the year 14,The rise lasted from the year 1401 to the year 14,79,7
The plan lasted from the year 1694 to the year 16,The plan lasted from the year 1601 to the year 16,94,9
The work lasted from the year 1605 to the year 16,The work lasted from the year 1601 to the year 16,5,0
The deal lasted from the year 1559 to the year 15,The deal lasted from the year 1501 to the year 15,59,5
The testing lasted from the year 1271 to the year 12,The testing lasted from the year 1201 to the year 12,71,7
The progress lasted from the year 1615 to the year 16,The progress lasted from the year 1601 to the year 16,15,1
The order lasted from the year 1752 to the year 17,The order lasted from the year 1701 to the year 17,52,5
The operation lasted from the year 1795 to the year 17,The operation lasted from the year 1701 to the year 17,95,9
The testing lasted from the year 1673 to the year 16,The testing lasted from the year 1601 to the year 16,73,7
The impact lasted from the year 1365 to the year 13,The impact lasted from the year 1301 to the year 13,65,6
The tests lasted from the year 1614 to the year 16,The tests lasted from the year 1601 to the year 16,14,1
The fall lasted from the year 1756 to the year 17,The fall lasted from the year 1701 to the year 17,56,5
The rise lasted from the year 1207 to the year 12,The rise lasted from the year 1201 to the year 12,7,0
The existence lasted from the year 1720 to the year 17,The existence lasted from the year 1701 to the year 17,20,2
The rise lasted from the year 1179 to the year 11,The rise lasted from the year 1101 to the year 11,79,7
The rise lasted from the year 1323 to the year 13,The rise lasted from the year 1301 to the year 13,23,2
The trip lasted from the year 1403 to the year 14,The trip lasted from the year 1401 to the year 14,3,0
The development lasted from the year 1183 to the year 11,The development lasted from the year 1101 to the year 11,83,8
The rise lasted from the year 1609 to the year 16,The rise lasted from the year 1601 to the year 16,9,0
The practice lasted from the year 1312 to the year 13,The practice lasted from the year 1301 to the year 13,12,1
The progress lasted from the year 1627 to the year 16,The progress lasted from the year 1601 to the year 16,27,2
The work lasted from the year 1611 to the year 16,The work lasted from the year 1601 to the year 16,11,1
The existence lasted from the year 1380 to the year 13,The existence lasted from the year 1301 to the year 13,80,8
The growth lasted from the year 1494 to the year 14,The growth lasted from the year 1401 to the year 14,94,9
The trial lasted from the year 1588 to the year 15,The trial lasted from the year 1501 to the year 15,88,8
The marriage lasted from the year 1437 to the year 14,The marriage lasted from the year 1401 to the year 14,37,3
The contact lasted from the year 1445 to the year 14,The contact lasted from the year 1401 to the year 14,45,4
The quest lasted from the year 1523 to the year 15,The quest lasted from the year 1501 to the year 15,23,2
The impact lasted from the year 1236 to the year 12,The impact lasted from the year 1201 to the year 12,36,3
The progress lasted from the year 1455 to the year 14,The progress lasted from the year 1401 to the year 14,55,5
The contact lasted from the year 1252 to the year 12,The contact lasted from the year 1201 to the year 12,52,5
The operation lasted from the year 1371 to the year 13,The operation lasted from the year 1301 to the year 13,71,7
The deal lasted from the year 1531 to the year 15,The deal lasted from the year 1501 to the year 15,31,3
The contract lasted from the year 1203 to the year 12,The contract lasted from the year 1201 to the year 12,3,0
The trial lasted from the year 1149 to the year 11,The trial lasted from the year 1101 to the year 11,49,4
The trial lasted from the year 1521 to the year 15,The trial lasted from the year 1501 to the year 15,21,2
The trip lasted from the year 1150 to the year 11,The trip lasted from the year 1101 to the year 11,50,5
The trial lasted from the year 1242 to the year 12,The trial lasted from the year 1201 to the year 12,42,4
The process lasted from the year 1432 to the year 14,The process lasted from the year 1401 to the year 14,32,3
The campaign lasted from the year 1514 to the year 15,The campaign lasted from the year 1501 to the year 15,14,1
The trial lasted from the year 1780 to the year 17,The trial lasted from the year 1701 to the year 17,80,8
The process lasted from the year 1578 to the year 15,The process lasted from the year 1501 to the year 15,78,7
The deal lasted from the year 1436 to the year 14,The deal lasted from the year 1401 to the year 14,36,3
The rule lasted from the year 1378 to the year 13,The rule lasted from the year 1301 to the year 13,78,7
The testing lasted from the year 1591 to the year 15,The testing lasted from the year 1501 to the year 15,91,9
The progress lasted from the year 1341 to the year 13,The progress lasted from the year 1301 to the year 13,41,4
The work lasted from the year 1572 to the year 15,The work lasted from the year 1501 to the year 15,72,7
The fall lasted from the year 1545 to the year 15,The fall lasted from the year 1501 to the year 15,45,4
The progress lasted from the year 1187 to the year 11,The progress lasted from the year 1101 to the year 11,87,8
The trip lasted from the year 1402 to the year 14,The trip lasted from the year 1401 to the year 14,2,0
The practice lasted from the year 1704 to the year 17,The practice lasted from the year 1701 to the year 17,4,0
The progress lasted from the year 1222 to the year 12,The progress lasted from the year 1201 to the year 12,22,2
The fall lasted from the year 1525 to the year 15,The fall lasted from the year 1501 to the year 15,25,2
The rule lasted from the year 1181 to the year 11,The rule lasted from the year 1101 to the year 11,81,8
The quest lasted from the year 1723 to the year 17,The quest lasted from the year 1701 to the year 17,23,2
The impact lasted from the year 1702 to the year 17,The impact lasted from the year 1701 to the year 17,2,0
The project lasted from the year 1767 to the year 17,The project lasted from the year 1701 to the year 17,67,6
The testing lasted from the year 1731 to the year 17,The testing lasted from the year 1701 to the year 17,31,3
The growth lasted from the year 1241 to the year 12,The growth lasted from the year 1201 to the year 12,41,4
The contact lasted from the year 1394 to the year 13,The contact lasted from the year 1301 to the year 13,94,9
The plan lasted from the year 1646 to the year 16,The plan lasted from the year 1601 to the year 16,46,4
The project lasted from the year 1757 to the year 17,The project lasted from the year 1701 to the year 17,57,5
The testing lasted from the year 1671 to the year 16,The testing lasted from the year 1601 to the year 16,71,7
The riot lasted from the year 1758 to the year 17,The riot lasted from the year 1701 to the year 17,58,5
The employment lasted from the year 1393 to the year 13,The employment lasted from the year 1301 to the year 13,93,9
The contact lasted from the year 1397 to the year 13,The contact lasted from the year 1301 to the year 13,97,9
The work lasted from the year 1744 to the year 17,The work lasted from the year 1701 to the year 17,44,4
The fall lasted from the year 1540 to the year 15,The fall lasted from the year 1501 to the year 15,40,4
The riot lasted from the year 1765 to the year 17,The riot lasted from the year 1701 to the year 17,65,6
The practice lasted from the year 1752 to the year 17,The practice lasted from the year 1701 to the year 17,52,5
The case lasted from the year 1780 to the year 17,The case lasted from the year 1701 to the year 17,80,8
The trip lasted from the year 1589 to the year 15,The trip lasted from the year 1501 to the year 15,89,8
The work lasted from the year 1710 to the year 17,The work lasted from the year 1701 to the year 17,10,1
The employment lasted from the year 1703 to the year 17,The employment lasted from the year 1701 to the year 17,3,0
The existence lasted from the year 1387 to the year 13,The existence lasted from the year 1301 to the year 13,87,8
The fall lasted from the year 1596 to the year 15,The fall lasted from the year 1501 to the year 15,96,9
The operation lasted from the year 1723 to the year 17,The operation lasted from the year 1701 to the year 17,23,2
The riot lasted from the year 1737 to the year 17,The riot lasted from the year 1701 to the year 17,37,3
The deal lasted from the year 1383 to the year 13,The deal lasted from the year 1301 to the year 13,83,8
The rule lasted from the year 1558 to the year 15,The rule lasted from the year 1501 to the year 15,58,5
The shift lasted from the year 1497 to the year 14,The shift lasted from the year 1401 to the year 14,97,9
The attack lasted from the year 1458 to the year 14,The attack lasted from the year 1401 to the year 14,58,5
The development lasted from the year 1582 to the year 15,The development lasted from the year 1501 to the year 15,82,8
The order lasted from the year 1365 to the year 13,The order lasted from the year 1301 to the year 13,65,6
The practice lasted from the year 1778 to the year 17,The practice lasted from the year 1701 to the year 17,78,7
The project lasted from the year 1637 to the year 16,The project lasted from the year 1601 to the year 16,37,3
The process lasted from the year 1262 to the year 12,The process lasted from the year 1201 to the year 12,62,6
The tests lasted from the year 1783 to the year 17,The tests lasted from the year 1701 to the year 17,83,8
The contract lasted from the year 1428 to the year 14,The contract lasted from the year 1401 to the year 14,28,2
The impact lasted from the year 1214 to the year 12,The impact lasted from the year 1201 to the year 12,14,1
The existence lasted from the year 1789 to the year 17,The existence lasted from the year 1701 to the year 17,89,8
The program lasted from the year 1347 to the year 13,The program lasted from the year 1301 to the year 13,47,4
The program lasted from the year 1408 to the year 14,The program lasted from the year 1401 to the year 14,8,0
The project lasted from the year 1749 to the year 17,The project lasted from the year 1701 to the year 17,49,4
The program lasted from the year 1677 to the year 16,The program lasted from the year 1601 to the year 16,77,7
The trial lasted from the year 1409 to the year 14,The trial lasted from the year 1401 to the year 14,9,0
The contact lasted from the year 1426 to the year 14,The contact lasted from the year 1401 to the year 14,26,2
The fall lasted from the year 1330 to the year 13,The fall lasted from the year 1301 to the year 13,30,3
The fall lasted from the year 1634 to the year 16,The fall lasted from the year 1601 to the year 16,34,3
The contract lasted from the year 1616 to the year 16,The contract lasted from the year 1601 to the year 16,16,1
The case lasted from the year 1648 to the year 16,The case lasted from the year 1601 to the year 16,48,4
The order lasted from the year 1572 to the year 15,The order lasted from the year 1501 to the year 15,72,7
The case lasted from the year 1661 to the year 16,The case lasted from the year 1601 to the year 16,61,6
The quest lasted from the year 1321 to the year 13,The quest lasted from the year 1301 to the year 13,21,2
The development lasted from the year 1175 to the year 11,The development lasted from the year 1101 to the year 11,75,7
The development lasted from the year 1571 to the year 15,The development lasted from the year 1501 to the year 15,71,7
The growth lasted from the year 1617 to the year 16,The growth lasted from the year 1601 to the year 16,17,1
The campaign lasted from the year 1311 to the year 13,The campaign lasted from the year 1301 to the year 13,11,1
The employment lasted from the year 1210 to the year 12,The employment lasted from the year 1201 to the year 12,10,1
The operation lasted from the year 1730 to the year 17,The operation lasted from the year 1701 to the year 17,30,3
The fall lasted from the year 1146 to the year 11,The fall lasted from the year 1101 to the year 11,46,4
The contact lasted from the year 1611 to the year 16,The contact lasted from the year 1601 to the year 16,11,1
The plan lasted from the year 1404 to the year 14,The plan lasted from the year 1401 to the year 14,4,0
The case lasted from the year 1663 to the year 16,The case lasted from the year 1601 to the year 16,63,6
The growth lasted from the year 1690 to the year 16,The growth lasted from the year 1601 to the year 16,90,9
The fall lasted from the year 1623 to the year 16,The fall lasted from the year 1601 to the year 16,23,2
The plan lasted from the year 1711 to the year 17,The plan lasted from the year 1701 to the year 17,11,1
The quest lasted from the year 1605 to the year 16,The quest lasted from the year 1601 to the year 16,5,0
The study lasted from the year 1233 to the year 12,The study lasted from the year 1201 to the year 12,33,3
The riot lasted from the year 1242 to the year 12,The riot lasted from the year 1201 to the year 12,42,4
The process lasted from the year 1214 to the year 12,The process lasted from the year 1201 to the year 12,14,1
The process lasted from the year 1245 to the year 12,The process lasted from the year 1201 to the year 12,45,4
The marriage lasted from the year 1678 to the year 16,The marriage lasted from the year 1601 to the year 16,78,7
The quest lasted from the year 1657 to the year 16,The quest lasted from the year 1601 to the year 16,57,5
The trial lasted from the year 1240 to the year 12,The trial lasted from the year 1201 to the year 12,40,4
The riot lasted from the year 1368 to the year 13,The riot lasted from the year 1301 to the year 13,68,6
The practice lasted from the year 1133 to the year 11,The practice lasted from the year 1101 to the year 11,33,3
The effect lasted from the year 1451 to the year 14,The effect lasted from the year 1401 to the year 14,51,5
The operation lasted from the year 1610 to the year 16,The operation lasted from the year 1601 to the year 16,10,1
The development lasted from the year 1742 to the year 17,The development lasted from the year 1701 to the year 17,42,4
The existence lasted from the year 1142 to the year 11,The existence lasted from the year 1101 to the year 11,42,4
The work lasted from the year 1409 to the year 14,The work lasted from the year 1401 to the year 14,9,0
The trip lasted from the year 1622 to the year 16,The trip lasted from the year 1601 to the year 16,22,2
The rise lasted from the year 1175 to the year 11,The rise lasted from the year 1101 to the year 11,75,7
The contact lasted from the year 1368 to the year 13,The contact lasted from the year 1301 to the year 13,68,6
The trip lasted from the year 1696 to the year 16,The trip lasted from the year 1601 to the year 16,96,9
The testing lasted from the year 1213 to the year 12,The testing lasted from the year 1201 to the year 12,13,1
The practice lasted from the year 1279 to the year 12,The practice lasted from the year 1201 to the year 12,79,7
The impact lasted from the year 1553 to the year 15,The impact lasted from the year 1501 to the year 15,53,5
The contract lasted from the year 1529 to the year 15,The contract lasted from the year 1501 to the year 15,29,2
The quest lasted from the year 1397 to the year 13,The quest lasted from the year 1301 to the year 13,97,9
The plan lasted from the year 1337 to the year 13,The plan lasted from the year 1301 to the year 13,37,3
The deal lasted from the year 1704 to the year 17,The deal lasted from the year 1701 to the year 17,4,0
The shift lasted from the year 1150 to the year 11,The shift lasted from the year 1101 to the year 11,50,5
The plan lasted from the year 1222 to the year 12,The plan lasted from the year 1201 to the year 12,22,2
The study lasted from the year 1780 to the year 17,The study lasted from the year 1701 to the year 17,80,8
The development lasted from the year 1639 to the year 16,The development lasted from the year 1601 to the year 16,39,3
The contract lasted from the year 1144 to the year 11,The contract lasted from the year 1101 to the year 11,44,4
The order lasted from the year 1792 to the year 17,The order lasted from the year 1701 to the year 17,92,9
The progress lasted from the year 1239 to the year 12,The progress lasted from the year 1201 to the year 12,39,3
The testing lasted from the year 1327 to the year 13,The testing lasted from the year 1301 to the year 13,27,2
The marriage lasted from the year 1168 to the year 11,The marriage lasted from the year 1101 to the year 11,68,6
The work lasted from the year 1727 to the year 17,The work lasted from the year 1701 to the year 17,27,2
The impact lasted from the year 1666 to the year 16,The impact lasted from the year 1601 to the year 16,66,6
The tests lasted from the year 1292 to the year 12,The tests lasted from the year 1201 to the year 12,92,9
The work lasted from the year 1410 to the year 14,The work lasted from the year 1401 to the year 14,10,1
The progress lasted from the year 1631 to the year 16,The progress lasted from the year 1601 to the year 16,31,3
The impact lasted from the year 1325 to the year 13,The impact lasted from the year 1301 to the year 13,25,2
The process lasted from the year 1790 to the year 17,The process lasted from the year 1701 to the year 17,90,9
The test lasted from the year 1281 to the year 12,The test lasted from the year 1201 to the year 12,81,8
The existence lasted from the year 1131 to the year 11,The existence lasted from the year 1101 to the year 11,31,3
The fall lasted from the year 1539 to the year 15,The fall lasted from the year 1501 to the year 15,39,3
The progress lasted from the year 1752 to the year 17,The progress lasted from the year 1701 to the year 17,52,5
The test lasted from the year 1792 to the year 17,The test lasted from the year 1701 to the year 17,92,9
The rule lasted from the year 1647 to the year 16,The rule lasted from the year 1601 to the year 16,47,4
The riot lasted from the year 1376 to the year 13,The riot lasted from the year 1301 to the year 13,76,7
The trip lasted from the year 1637 to the year 16,The trip lasted from the year 1601 to the year 16,37,3
The rule lasted from the year 1638 to the year 16,The rule lasted from the year 1601 to the year 16,38,3
The growth lasted from the year 1335 to the year 13,The growth lasted from the year 1301 to the year 13,35,3
The quest lasted from the year 1714 to the year 17,The quest lasted from the year 1701 to the year 17,14,1
The deal lasted from the year 1416 to the year 14,The deal lasted from the year 1401 to the year 14,16,1
The contact lasted from the year 1672 to the year 16,The contact lasted from the year 1601 to the year 16,72,7
The test lasted from the year 1510 to the year 15,The test lasted from the year 1501 to the year 15,10,1
The contract lasted from the year 1202 to the year 12,The contract lasted from the year 1201 to the year 12,2,0
The case lasted from the year 1419 to the year 14,The case lasted from the year 1401 to the year 14,19,1
The impact lasted from the year 1430 to the year 14,The impact lasted from the year 1401 to the year 14,30,3
The contact lasted from the year 1263 to the year 12,The contact lasted from the year 1201 to the year 12,63,6
The study lasted from the year 1203 to the year 12,The study lasted from the year 1201 to the year 12,3,0
The effect lasted from the year 1216 to the year 12,The effect lasted from the year 1201 to the year 12,16,1
The deal lasted from the year 1533 to the year 15,The deal lasted from the year 1501 to the year 15,33,3
The riot lasted from the year 1277 to the year 12,The riot lasted from the year 1201 to the year 12,77,7
The growth lasted from the year 1169 to the year 11,The growth lasted from the year 1101 to the year 11,69,6
The marriage lasted from the year 1521 to the year 15,The marriage lasted from the year 1501 to the year 15,21,2
The development lasted from the year 1454 to the year 14,The development lasted from the year 1401 to the year 14,54,5
The shift lasted from the year 1216 to the year 12,The shift lasted from the year 1201 to the year 12,16,1
The practice lasted from the year 1275 to the year 12,The practice lasted from the year 1201 to the year 12,75,7
The tests lasted from the year 1441 to the year 14,The tests lasted from the year 1401 to the year 14,41,4
The riot lasted from the year 1515 to the year 15,The riot lasted from the year 1501 to the year 15,15,1
The existence lasted from the year 1361 to the year 13,The existence lasted from the year 1301 to the year 13,61,6
The process lasted from the year 1268 to the year 12,The process lasted from the year 1201 to the year 12,68,6
The attack lasted from the year 1291 to the year 12,The attack lasted from the year 1201 to the year 12,91,9
The marriage lasted from the year 1140 to the year 11,The marriage lasted from the year 1101 to the year 11,40,4
The project lasted from the year 1771 to the year 17,The project lasted from the year 1701 to the year 17,71,7
The operation lasted from the year 1622 to the year 16,The operation lasted from the year 1601 to the year 16,22,2
The development lasted from the year 1725 to the year 17,The development lasted from the year 1701 to the year 17,25,2
The fall lasted from the year 1586 to the year 15,The fall lasted from the year 1501 to the year 15,86,8
The order lasted from the year 1374 to the year 13,The order lasted from the year 1301 to the year 13,74,7
The order lasted from the year 1490 to the year 14,The order lasted from the year 1401 to the year 14,90,9
The study lasted from the year 1187 to the year 11,The study lasted from the year 1101 to the year 11,87,8
The work lasted from the year 1553 to the year 15,The work lasted from the year 1501 to the year 15,53,5
The riot lasted from the year 1283 to the year 12,The riot lasted from the year 1201 to the year 12,83,8
The rise lasted from the year 1789 to the year 17,The rise lasted from the year 1701 to the year 17,89,8
The effect lasted from the year 1387 to the year 13,The effect lasted from the year 1301 to the year 13,87,8
The rise lasted from the year 1574 to the year 15,The rise lasted from the year 1501 to the year 15,74,7
The fall lasted from the year 1621 to the year 16,The fall lasted from the year 1601 to the year 16,21,2
The marriage lasted from the year 1149 to the year 11,The marriage lasted from the year 1101 to the year 11,49,4
The trial lasted from the year 1256 to the year 12,The trial lasted from the year 1201 to the year 12,56,5
The growth lasted from the year 1233 to the year 12,The growth lasted from the year 1201 to the year 12,33,3
The operation lasted from the year 1517 to the year 15,The operation lasted from the year 1501 to the year 15,17,1
The plan lasted from the year 1628 to the year 16,The plan lasted from the year 1601 to the year 16,28,2
The rule lasted from the year 1408 to the year 14,The rule lasted from the year 1401 to the year 14,8,0
The existence lasted from the year 1392 to the year 13,The existence lasted from the year 1301 to the year 13,92,9
The growth lasted from the year 1663 to the year 16,The growth lasted from the year 1601 to the year 16,63,6
The impact lasted from the year 1202 to the year 12,The impact lasted from the year 1201 to the year 12,2,0
The operation lasted from the year 1246 to the year 12,The operation lasted from the year 1201 to the year 12,46,4
The order lasted from the year 1538 to the year 15,The order lasted from the year 1501 to the year 15,38,3
The plan lasted from the year 1680 to the year 16,The plan lasted from the year 1601 to the year 16,80,8
The campaign lasted from the year 1515 to the year 15,The campaign lasted from the year 1501 to the year 15,15,1
The process lasted from the year 1236 to the year 12,The process lasted from the year 1201 to the year 12,36,3
The attack lasted from the year 1536 to the year 15,The attack lasted from the year 1501 to the year 15,36,3
The fall lasted from the year 1660 to the year 16,The fall lasted from the year 1601 to the year 16,60,6
The deal lasted from the year 1338 to the year 13,The deal lasted from the year 1301 to the year 13,38,3
The program lasted from the year 1404 to the year 14,The program lasted from the year 1401 to the year 14,4,0
The trip lasted from the year 1566 to the year 15,The trip lasted from the year 1501 to the year 15,66,6
The contact lasted from the year 1705 to the year 17,The contact lasted from the year 1701 to the year 17,5,0
The testing lasted from the year 1576 to the year 15,The testing lasted from the year 1501 to the year 15,76,7
The existence lasted from the year 1207 to the year 12,The existence lasted from the year 1201 to the year 12,7,0
The operation lasted from the year 1648 to the year 16,The operation lasted from the year 1601 to the year 16,48,4
The project lasted from the year 1355 to the year 13,The project lasted from the year 1301 to the year 13,55,5
The existence lasted from the year 1736 to the year 17,The existence lasted from the year 1701 to the year 17,36,3
The attack lasted from the year 1177 to the year 11,The attack lasted from the year 1101 to the year 11,77,7
The impact lasted from the year 1656 to the year 16,The impact lasted from the year 1601 to the year 16,56,5
The order lasted from the year 1421 to the year 14,The order lasted from the year 1401 to the year 14,21,2
The marriage lasted from the year 1779 to the year 17,The marriage lasted from the year 1701 to the year 17,79,7
