clean,corrupted,colon_newline,template_idx,template_text,template_label,variant_idx,branch_style
"if data[index] < value:
    match_idx = index
    start = index + 1
else","if data[index] < value:
    match_idx = index
    start = index + 1
elif",1,10,"if [DATA_VAR][[INDEX_VAR]] < [VALUE_VAR]:
    [RESULT_VAR] = [INDEX_VAR]
    [LOW_VAR] = [INDEX_VAR] + 1
else",binary_search_else,25,else
"if program_dir == 0:
    program_dir = neg_dir
elif program_dir == 1:
    program_dir = advance
elif","if program_dir == 0:
    program_dir = neg_dir
elif program_dir == 1:
    program_dir = advance
else",0,3,"if [DIR_VAR] == 0:
    [DIR_VAR] = [NEG_VAR]
elif [DIR_VAR] == 1:
    [DIR_VAR] = [POS_VAR]
else",program_dir_chain_elif,38,elif
"if random.random() < 0.5:
    constraint_list.append(f""ML,{partner},{node}"")
elif","if random.random() < 0.5:
    constraint_list.append(f""ML,{partner},{node}"")
else",0,14,"if random.random() < 0.5:
    [OUT_VAR].append(f""ML,{[PEER_VAR]},{[ELEMENT_VAR]}"")
else",random_split_elif,19,elif
"if room_num:
    set_parameter(board_instance, room_param, panel_name + ' - ' + room_num)
else","if room_num:
    set_parameter(board_instance, room_param, panel_name + ' - ' + room_num)
elif",1,11,"if [ROOM_VAR]:
    set_parameter([BOARD_VAR], [PARAM_VAR], [ROOM_NAME] + ' - ' + [ROOM_VAR])
else",truthy_call_else,13,else
"if time > stored_time:
    launch_time = stored_time + 1
elif","if time > stored_time:
    launch_time = stored_time + 1
else",0,4,"if [TIME_VAR] > [LAST_VAR]:
    [START_VAR] = [LAST_VAR] + 1
else",schedule_branch_elif,35,elif
"if room_num:
    set_parameter(board_instance, target_param, space_name + ' - ' + room_num)
else","if room_num:
    set_parameter(board_instance, target_param, space_name + ' - ' + room_num)
elif",1,11,"if [ROOM_VAR]:
    set_parameter([BOARD_VAR], [PARAM_VAR], [ROOM_NAME] + ' - ' + [ROOM_VAR])
else",truthy_call_else,31,else
"if end is None:
    goal = (maze_rows-1, maze_cols-1)
elif","if end is None:
    goal = (maze_rows-1, maze_cols-1)
else",0,15,"if [END_VAR] is None:
    [GOAL_VAR] = ([ROWS_VAR]-1, [COLS_VAR]-1)
else",none_default_elif,24,elif
"if status:
    note = status
    return status
elif","if status:
    note = status
    return status
else",0,0,"if [RESULT_VAR]:
    [CACHE_VAR] = [RESULT_VAR]
    return [RESULT_VAR]
else",return_result_elif,31,elif
"if random.random() < 0.5:
    constraint_list.append(f""ML,{other},{entry}"")
else","if random.random() < 0.5:
    constraint_list.append(f""ML,{other},{entry}"")
elif",1,14,"if random.random() < 0.5:
    [OUT_VAR].append(f""ML,{[PEER_VAR]},{[ELEMENT_VAR]}"")
else",random_split_else,12,else
"if result:
    saved = result
    return result
else","if result:
    saved = result
    return result
elif",1,0,"if [RESULT_VAR]:
    [CACHE_VAR] = [RESULT_VAR]
    return [RESULT_VAR]
else",return_result_else,1,else
"if (count <= 15):
    return solver(count, total)
else","if (count <= 15):
    return solver(count, total)
elif",1,8,"if ([NUM_VAR] <= [LIMIT]):
    return [FUNC_CALL]
else",inline_threshold_else,26,else
"if strategy == 'bfs':
    return bfs(start, visited, done_test, next_nodes)
elif strategy == 'dfs':
    return dfs(start, visited, done_test, next_nodes)
else","if strategy == 'bfs':
    return bfs(start, visited, done_test, next_nodes)
elif strategy == 'dfs':
    return dfs(start, visited, done_test, next_nodes)
elif",1,5,"if [STRATEGY_VAR] == 'bfs':
    return bfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
elif [STRATEGY_VAR] == 'dfs':
    return dfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
else",strategy_branch_else,22,else
"if random.random() < 0.5:
    constraint_list.append(f""ML,{partner},{value}"")
else","if random.random() < 0.5:
    constraint_list.append(f""ML,{partner},{value}"")
elif",1,14,"if random.random() < 0.5:
    [OUT_VAR].append(f""ML,{[PEER_VAR]},{[ELEMENT_VAR]}"")
else",random_split_else,18,else
"if (nums <= 32):
    return solver(count, total)
else","if (nums <= 32):
    return solver(count, total)
elif",1,8,"if ([NUM_VAR] <= [LIMIT]):
    return [FUNC_CALL]
else",inline_threshold_else,21,else
"if strategy == 'bfs':
    return bfs(start, visited, hit_goal, steps)
elif strategy == 'dfs':
    return dfs(start, visited, hit_goal, steps)
else","if strategy == 'bfs':
    return bfs(start, visited, hit_goal, steps)
elif strategy == 'dfs':
    return dfs(start, visited, hit_goal, steps)
elif",1,5,"if [STRATEGY_VAR] == 'bfs':
    return bfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
elif [STRATEGY_VAR] == 'dfs':
    return dfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
else",strategy_branch_else,19,else
"if end is None:
    finish = (row_count-1, self.num_cols-1)
else","if end is None:
    finish = (row_count-1, self.num_cols-1)
elif",1,15,"if [END_VAR] is None:
    [GOAL_VAR] = ([ROWS_VAR]-1, [COLS_VAR]-1)
else",none_default_else,35,else
"if root_id not in family_stats:
    family_stats[root_id] = (size, household_count)
elif","if root_id not in family_stats:
    family_stats[root_id] = (size, household_count)
else",0,7,"if [ROOT_VAR] not in [STATS_VAR]:
    [STATS_VAR][[ROOT_VAR]] = ([AREA_VAR], [COUNT_VAR])
else",stats_update_elif,24,elif
"if character in string:
    left, remain = string.split(character, 1)
elif","if character in string:
    left, remain = string.split(character, 1)
else",0,9,"if [CHAR_VAR] in [STRING_VAR]:
    [LEFT_VAR], [RIGHT_VAR] = [STRING_VAR].split([CHAR_VAR], 1)
else",string_align_elif,6,elif
"if output:
    memo = output
    return output
elif","if output:
    memo = output
    return output
else",0,0,"if [RESULT_VAR]:
    [CACHE_VAR] = [RESULT_VAR]
    return [RESULT_VAR]
else",return_result_elif,21,elif
"if output:
    record = output
    return output
elif","if output:
    record = output
    return output
else",0,0,"if [RESULT_VAR]:
    [CACHE_VAR] = [RESULT_VAR]
    return [RESULT_VAR]
else",return_result_elif,19,elif
"if program_dir == 0:
    program_dir = prev_dir
elif program_dir == 1:
    program_dir = next_dir
elif","if program_dir == 0:
    program_dir = prev_dir
elif program_dir == 1:
    program_dir = next_dir
else",0,3,"if [DIR_VAR] == 0:
    [DIR_VAR] = [NEG_VAR]
elif [DIR_VAR] == 1:
    [DIR_VAR] = [POS_VAR]
else",program_dir_chain_elif,26,elif
"if end is None:
    goal = (grid_rows-1, cols-1)
elif","if end is None:
    goal = (grid_rows-1, cols-1)
else",0,15,"if [END_VAR] is None:
    [GOAL_VAR] = ([ROWS_VAR]-1, [COLS_VAR]-1)
else",none_default_elif,16,elif
"if program_dir == 0:
    program_dir = reverse_step
elif program_dir == 1:
    program_dir = next_dir
else","if program_dir == 0:
    program_dir = reverse_step
elif program_dir == 1:
    program_dir = next_dir
elif",1,3,"if [DIR_VAR] == 0:
    [DIR_VAR] = [NEG_VAR]
elif [DIR_VAR] == 1:
    [DIR_VAR] = [POS_VAR]
else",program_dir_chain_else,2,else
"if strategy == 'bfs':
    return bfs(start, visited, target_test, next_nodes)
elif strategy == 'dfs':
    return dfs(start, visited, target_test, next_nodes)
elif","if strategy == 'bfs':
    return bfs(start, visited, target_test, next_nodes)
elif strategy == 'dfs':
    return dfs(start, visited, target_test, next_nodes)
else",0,5,"if [STRATEGY_VAR] == 'bfs':
    return bfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
elif [STRATEGY_VAR] == 'dfs':
    return dfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
else",strategy_branch_elif,12,elif
"if result:
    saved = result
    return result
elif","if result:
    saved = result
    return result
else",0,0,"if [RESULT_VAR]:
    [CACHE_VAR] = [RESULT_VAR]
    return [RESULT_VAR]
else",return_result_elif,1,elif
"if program_dir == 0:
    program_dir = left_turn
elif program_dir == 1:
    program_dir = next_dir
else","if program_dir == 0:
    program_dir = left_turn
elif program_dir == 1:
    program_dir = next_dir
elif",1,3,"if [DIR_VAR] == 0:
    [DIR_VAR] = [NEG_VAR]
elif [DIR_VAR] == 1:
    [DIR_VAR] = [POS_VAR]
else",program_dir_chain_else,10,else
"if (nums <= 20):
    return walk_path(size, count)
else","if (nums <= 20):
    return walk_path(size, count)
elif",1,8,"if ([NUM_VAR] <= [LIMIT]):
    return [FUNC_CALL]
else",inline_threshold_else,8,else
"if isinstance(left, (list, tuple)):
    if isinstance(target_obj, (list, tuple)):
        compare_objects(left[0], target_obj[0], key, path)
    elif","if isinstance(left, (list, tuple)):
    if isinstance(target_obj, (list, tuple)):
        compare_objects(left[0], target_obj[0], key, path)
    else",0,12,"if isinstance([LEFT_VAR], (list, tuple)):
    if isinstance([RIGHT_VAR], (list, tuple)):
        compare_objects([LEFT_VAR][0], [RIGHT_VAR][0], [NAME_VAR], [PATH_VAR])
    else",compare_objects_elif,32,elif
"if time > stored_time:
    open_time = stored_time + 1
else","if time > stored_time:
    open_time = stored_time + 1
elif",1,4,"if [TIME_VAR] > [LAST_VAR]:
    [START_VAR] = [LAST_VAR] + 1
else",schedule_branch_else,36,else
"if eval(problem) == solution:
    print(""clear"")
elif","if eval(problem) == solution:
    print(""clear"")
else",0,1,"if eval([PROBLEM_VAR]) == [ANSWER_VAR]:
    print([SUCCESS_MSG])
else",answer_check_elif,29,elif
"if isl_constraint.is_equality():
    return check_expr == -weights['1']
else","if isl_constraint.is_equality():
    return check_expr == -weights['1']
elif",1,6,"if [CONSTRAINT_VAR].is_equality():
    return [Z3_VAR] == -[COEFF_VAR]['1']
else",equality_case_else,33,else
"if eval(problem) == guess:
    print(""clear"")
elif","if eval(problem) == guess:
    print(""clear"")
else",0,1,"if eval([PROBLEM_VAR]) == [ANSWER_VAR]:
    print([SUCCESS_MSG])
else",answer_check_elif,9,elif
"if eval(problem) == reply:
    print(""passed"")
else","if eval(problem) == reply:
    print(""passed"")
elif",1,1,"if eval([PROBLEM_VAR]) == [ANSWER_VAR]:
    print([SUCCESS_MSG])
else",answer_check_else,13,else
"if time > last_time:
    start_time = last_time + 1
else","if time > last_time:
    start_time = last_time + 1
elif",1,4,"if [TIME_VAR] > [LAST_VAR]:
    [START_VAR] = [LAST_VAR] + 1
else",schedule_branch_else,24,else
"if eval(problem) == reply:
    print(""success"")
else","if eval(problem) == reply:
    print(""success"")
elif",1,1,"if eval([PROBLEM_VAR]) == [ANSWER_VAR]:
    print([SUCCESS_MSG])
else",answer_check_else,12,else
"if end is None:
    finish = (rows-1, col_count-1)
elif","if end is None:
    finish = (rows-1, col_count-1)
else",0,15,"if [END_VAR] is None:
    [GOAL_VAR] = ([ROWS_VAR]-1, [COLS_VAR]-1)
else",none_default_elif,32,elif
"if isinstance(left, (list, tuple)):
    if isinstance(target_obj, (list, tuple)):
        compare_objects(left[0], target_obj[0], tag, chain)
    elif","if isinstance(left, (list, tuple)):
    if isinstance(target_obj, (list, tuple)):
        compare_objects(left[0], target_obj[0], tag, chain)
    else",0,12,"if isinstance([LEFT_VAR], (list, tuple)):
    if isinstance([RIGHT_VAR], (list, tuple)):
        compare_objects([LEFT_VAR][0], [RIGHT_VAR][0], [NAME_VAR], [PATH_VAR])
    else",compare_objects_elif,27,elif
"if random.random() < 0.5:
    constraint_list.append(f""ML,{other},{node}"")
else","if random.random() < 0.5:
    constraint_list.append(f""ML,{other},{node}"")
elif",1,14,"if random.random() < 0.5:
    [OUT_VAR].append(f""ML,{[PEER_VAR]},{[ELEMENT_VAR]}"")
else",random_split_else,11,else
"if isl_constraint.is_equality():
    return expr_total == -coefs['1']
else","if isl_constraint.is_equality():
    return expr_total == -coefs['1']
elif",1,6,"if [CONSTRAINT_VAR].is_equality():
    return [Z3_VAR] == -[COEFF_VAR]['1']
else",equality_case_else,13,else
"if strategy == 'bfs':
    return bfs(start, visited, goal_test, steps)
elif strategy == 'dfs':
    return dfs(start, visited, goal_test, steps)
elif","if strategy == 'bfs':
    return bfs(start, visited, goal_test, steps)
elif strategy == 'dfs':
    return dfs(start, visited, goal_test, steps)
else",0,5,"if [STRATEGY_VAR] == 'bfs':
    return bfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
elif [STRATEGY_VAR] == 'dfs':
    return dfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
else",strategy_branch_elif,4,elif
"if (nums <= 24):
    return gianlyung(nums, value)
elif","if (nums <= 24):
    return gianlyung(nums, value)
else",0,8,"if ([NUM_VAR] <= [LIMIT]):
    return [FUNC_CALL]
else",inline_threshold_elif,10,elif
"if random.random() < 0.5:
    constraint_list.append(f""ML,{neighbor},{node}"")
else","if random.random() < 0.5:
    constraint_list.append(f""ML,{neighbor},{node}"")
elif",1,14,"if random.random() < 0.5:
    [OUT_VAR].append(f""ML,{[PEER_VAR]},{[ELEMENT_VAR]}"")
else",random_split_else,27,else
"if random.random() < 0.5:
    constraint_list.append(f""ML,{neighbor},{token}"")
else","if random.random() < 0.5:
    constraint_list.append(f""ML,{neighbor},{token}"")
elif",1,14,"if random.random() < 0.5:
    [OUT_VAR].append(f""ML,{[PEER_VAR]},{[ELEMENT_VAR]}"")
else",random_split_else,30,else
"if result:
    buffer = result
    return result
elif","if result:
    buffer = result
    return result
else",0,0,"if [RESULT_VAR]:
    [CACHE_VAR] = [RESULT_VAR]
    return [RESULT_VAR]
else",return_result_elif,2,elif
"if room_num:
    set_parameter(board_instance, target_param, zone_name + ' - ' + room_num)
elif","if room_num:
    set_parameter(board_instance, target_param, zone_name + ' - ' + room_num)
else",0,11,"if [ROOM_VAR]:
    set_parameter([BOARD_VAR], [PARAM_VAR], [ROOM_NAME] + ' - ' + [ROOM_VAR])
else",truthy_call_elif,28,elif
"if root_id not in family_stats:
    family_stats[root_id] = (zone, unit_count)
elif","if root_id not in family_stats:
    family_stats[root_id] = (zone, unit_count)
else",0,7,"if [ROOT_VAR] not in [STATS_VAR]:
    [STATS_VAR][[ROOT_VAR]] = ([AREA_VAR], [COUNT_VAR])
else",stats_update_elif,15,elif
"if eval(problem) == prediction:
    print(""success"")
elif","if eval(problem) == prediction:
    print(""success"")
else",0,1,"if eval([PROBLEM_VAR]) == [ANSWER_VAR]:
    print([SUCCESS_MSG])
else",answer_check_elif,22,elif
"if time > last_seen:
    offset_time = last_seen + 1
else","if time > last_seen:
    offset_time = last_seen + 1
elif",1,4,"if [TIME_VAR] > [LAST_VAR]:
    [START_VAR] = [LAST_VAR] + 1
else",schedule_branch_else,10,else
"if strategy == 'bfs':
    return bfs(start, seen, goal_test, neighbors)
elif strategy == 'dfs':
    return dfs(start, seen, goal_test, neighbors)
elif","if strategy == 'bfs':
    return bfs(start, seen, goal_test, neighbors)
elif strategy == 'dfs':
    return dfs(start, seen, goal_test, neighbors)
else",0,5,"if [STRATEGY_VAR] == 'bfs':
    return bfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
elif [STRATEGY_VAR] == 'dfs':
    return dfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
else",strategy_branch_elif,26,elif
"if arr[y][w] == dead_cell:
    arr[y][w] = 1
else","if arr[y][w] == dead_cell:
    arr[y][w] = 1
elif",1,13,"if [BOARD_VAR][[ROW_VAR]][[COL_VAR]] == [OFF_VAR]:
    [BOARD_VAR][[ROW_VAR]][[COL_VAR]] = 1
else",cell_toggle_else,36,else
"if isinstance(left, (list, tuple)):
    if isinstance(target_obj, (list, tuple)):
        compare_objects(left[0], target_obj[0], key, path)
    else","if isinstance(left, (list, tuple)):
    if isinstance(target_obj, (list, tuple)):
        compare_objects(left[0], target_obj[0], key, path)
    elif",1,12,"if isinstance([LEFT_VAR], (list, tuple)):
    if isinstance([RIGHT_VAR], (list, tuple)):
        compare_objects([LEFT_VAR][0], [RIGHT_VAR][0], [NAME_VAR], [PATH_VAR])
    else",compare_objects_else,32,else
"if isl_constraint.is_equality():
    return z3_constraint == -factors['1']
else","if isl_constraint.is_equality():
    return z3_constraint == -factors['1']
elif",1,6,"if [CONSTRAINT_VAR].is_equality():
    return [Z3_VAR] == -[COEFF_VAR]['1']
else",equality_case_else,2,else
"if data[index] < value:
    result = index
    left_idx = index + 1
elif","if data[index] < value:
    result = index
    left_idx = index + 1
else",0,10,"if [DATA_VAR][[INDEX_VAR]] < [VALUE_VAR]:
    [RESULT_VAR] = [INDEX_VAR]
    [LOW_VAR] = [INDEX_VAR] + 1
else",binary_search_elif,2,elif
"if isl_constraint.is_equality():
    return z3_constraint == -factors['1']
elif","if isl_constraint.is_equality():
    return z3_constraint == -factors['1']
else",0,6,"if [CONSTRAINT_VAR].is_equality():
    return [Z3_VAR] == -[COEFF_VAR]['1']
else",equality_case_elif,2,elif
"if root_id not in family_stats:
    family_stats[root_id] = (size, hit_count)
else","if root_id not in family_stats:
    family_stats[root_id] = (size, hit_count)
elif",1,7,"if [ROOT_VAR] not in [STATS_VAR]:
    [STATS_VAR][[ROOT_VAR]] = ([AREA_VAR], [COUNT_VAR])
else",stats_update_else,30,else
"if eval(problem) == check:
    print(""ok"")
else","if eval(problem) == check:
    print(""ok"")
elif",1,1,"if eval([PROBLEM_VAR]) == [ANSWER_VAR]:
    print([SUCCESS_MSG])
else",answer_check_else,35,else
"if random.random() < 0.5:
    constraint_list.append(f""ML,{partner},{element}"")
else","if random.random() < 0.5:
    constraint_list.append(f""ML,{partner},{element}"")
elif",1,14,"if random.random() < 0.5:
    [OUT_VAR].append(f""ML,{[PEER_VAR]},{[ELEMENT_VAR]}"")
else",random_split_else,16,else
"if program_dir == 0:
    program_dir = neg_dir
elif program_dir == 1:
    program_dir = keep_dir
else","if program_dir == 0:
    program_dir = neg_dir
elif program_dir == 1:
    program_dir = keep_dir
elif",1,3,"if [DIR_VAR] == 0:
    [DIR_VAR] = [NEG_VAR]
elif [DIR_VAR] == 1:
    [DIR_VAR] = [POS_VAR]
else",program_dir_chain_else,39,else
"if (nums <= 24):
    return rank_nodes(value, total)
elif","if (nums <= 24):
    return rank_nodes(value, total)
else",0,8,"if ([NUM_VAR] <= [LIMIT]):
    return [FUNC_CALL]
else",inline_threshold_elif,14,elif
"if result:
    entry = result
    return result
elif","if result:
    entry = result
    return result
else",0,0,"if [RESULT_VAR]:
    [CACHE_VAR] = [RESULT_VAR]
    return [RESULT_VAR]
else",return_result_elif,4,elif
"if program_dir == 0:
    program_dir = reverse_step
elif program_dir == 1:
    program_dir = advance
else","if program_dir == 0:
    program_dir = reverse_step
elif program_dir == 1:
    program_dir = advance
elif",1,3,"if [DIR_VAR] == 0:
    [DIR_VAR] = [NEG_VAR]
elif [DIR_VAR] == 1:
    [DIR_VAR] = [POS_VAR]
else",program_dir_chain_else,6,else
"if character in string:
    prefix, second = string.split(character, 1)
elif","if character in string:
    prefix, second = string.split(character, 1)
else",0,9,"if [CHAR_VAR] in [STRING_VAR]:
    [LEFT_VAR], [RIGHT_VAR] = [STRING_VAR].split([CHAR_VAR], 1)
else",string_align_elif,23,elif
"if eval(problem) == reply:
    print(""match"")
elif","if eval(problem) == reply:
    print(""match"")
else",0,1,"if eval([PROBLEM_VAR]) == [ANSWER_VAR]:
    print([SUCCESS_MSG])
else",answer_check_elif,11,elif
"if isinstance(left, (list, tuple)):
    if isinstance(target_obj, (list, tuple)):
        compare_objects(left[0], target_obj[0], tag, path)
    elif","if isinstance(left, (list, tuple)):
    if isinstance(target_obj, (list, tuple)):
        compare_objects(left[0], target_obj[0], tag, path)
    else",0,12,"if isinstance([LEFT_VAR], (list, tuple)):
    if isinstance([RIGHT_VAR], (list, tuple)):
        compare_objects([LEFT_VAR][0], [RIGHT_VAR][0], [NAME_VAR], [PATH_VAR])
    else",compare_objects_elif,24,elif
"if character in string:
    lhs, rest = string.split(character, 1)
elif","if character in string:
    lhs, rest = string.split(character, 1)
else",0,9,"if [CHAR_VAR] in [STRING_VAR]:
    [LEFT_VAR], [RIGHT_VAR] = [STRING_VAR].split([CHAR_VAR], 1)
else",string_align_elif,13,elif
"if isinstance(left, (list, tuple)):
    if isinstance(target_obj, (list, tuple)):
        compare_objects(left[0], target_obj[0], tag, branch)
    elif","if isinstance(left, (list, tuple)):
    if isinstance(target_obj, (list, tuple)):
        compare_objects(left[0], target_obj[0], tag, branch)
    else",0,12,"if isinstance([LEFT_VAR], (list, tuple)):
    if isinstance([RIGHT_VAR], (list, tuple)):
        compare_objects([LEFT_VAR][0], [RIGHT_VAR][0], [NAME_VAR], [PATH_VAR])
    else",compare_objects_elif,31,elif
"if program_dir == 0:
    program_dir = neg_dir
elif program_dir == 1:
    program_dir = right_turn
elif","if program_dir == 0:
    program_dir = neg_dir
elif program_dir == 1:
    program_dir = right_turn
else",0,3,"if [DIR_VAR] == 0:
    [DIR_VAR] = [NEG_VAR]
elif [DIR_VAR] == 1:
    [DIR_VAR] = [POS_VAR]
else",program_dir_chain_elif,33,elif
"if time > last_time:
    offset_time = last_time + 1
else","if time > last_time:
    offset_time = last_time + 1
elif",1,4,"if [TIME_VAR] > [LAST_VAR]:
    [START_VAR] = [LAST_VAR] + 1
else",schedule_branch_else,26,else
"if program_dir == 0:
    program_dir = left_turn
elif program_dir == 1:
    program_dir = advance
elif","if program_dir == 0:
    program_dir = left_turn
elif program_dir == 1:
    program_dir = advance
else",0,3,"if [DIR_VAR] == 0:
    [DIR_VAR] = [NEG_VAR]
elif [DIR_VAR] == 1:
    [DIR_VAR] = [POS_VAR]
else",program_dir_chain_elif,14,elif
"if room_num:
    set_parameter(board_instance, field_param, unit_name + ' - ' + room_num)
elif","if room_num:
    set_parameter(board_instance, field_param, unit_name + ' - ' + room_num)
else",0,11,"if [ROOM_VAR]:
    set_parameter([BOARD_VAR], [PARAM_VAR], [ROOM_NAME] + ' - ' + [ROOM_VAR])
else",truthy_call_elif,17,elif
"if strategy == 'bfs':
    return bfs(start, seen, goal_test, next_nodes)
elif strategy == 'dfs':
    return dfs(start, seen, goal_test, next_nodes)
elif","if strategy == 'bfs':
    return bfs(start, seen, goal_test, next_nodes)
elif strategy == 'dfs':
    return dfs(start, seen, goal_test, next_nodes)
else",0,5,"if [STRATEGY_VAR] == 'bfs':
    return bfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
elif [STRATEGY_VAR] == 'dfs':
    return dfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
else",strategy_branch_elif,27,elif
"if root_id not in family_stats:
    family_stats[root_id] = (area, node_count)
elif","if root_id not in family_stats:
    family_stats[root_id] = (area, node_count)
else",0,7,"if [ROOT_VAR] not in [STATS_VAR]:
    [STATS_VAR][[ROOT_VAR]] = ([AREA_VAR], [COUNT_VAR])
else",stats_update_elif,4,elif
"if program_dir == 0:
    program_dir = prev_dir
elif program_dir == 1:
    program_dir = forward_step
elif","if program_dir == 0:
    program_dir = prev_dir
elif program_dir == 1:
    program_dir = forward_step
else",0,3,"if [DIR_VAR] == 0:
    [DIR_VAR] = [NEG_VAR]
elif [DIR_VAR] == 1:
    [DIR_VAR] = [POS_VAR]
else",program_dir_chain_elif,24,elif
"if end is None:
    goal = (rows-1, col_count-1)
else","if end is None:
    goal = (rows-1, col_count-1)
elif",1,15,"if [END_VAR] is None:
    [GOAL_VAR] = ([ROWS_VAR]-1, [COLS_VAR]-1)
else",none_default_else,7,else
"if end is None:
    goal = (self.num_rows-1, maze_cols-1)
else","if end is None:
    goal = (self.num_rows-1, maze_cols-1)
elif",1,15,"if [END_VAR] is None:
    [GOAL_VAR] = ([ROWS_VAR]-1, [COLS_VAR]-1)
else",none_default_else,4,else
"if isinstance(left, (list, tuple)):
    if isinstance(target_obj, (list, tuple)):
        compare_objects(left[0], target_obj[0], tag, branch)
    else","if isinstance(left, (list, tuple)):
    if isinstance(target_obj, (list, tuple)):
        compare_objects(left[0], target_obj[0], tag, branch)
    elif",1,12,"if isinstance([LEFT_VAR], (list, tuple)):
    if isinstance([RIGHT_VAR], (list, tuple)):
        compare_objects([LEFT_VAR][0], [RIGHT_VAR][0], [NAME_VAR], [PATH_VAR])
    else",compare_objects_else,31,else
"if root_id not in family_stats:
    family_stats[root_id] = (weight, row_count)
elif","if root_id not in family_stats:
    family_stats[root_id] = (weight, row_count)
else",0,7,"if [ROOT_VAR] not in [STATS_VAR]:
    [STATS_VAR][[ROOT_VAR]] = ([AREA_VAR], [COUNT_VAR])
else",stats_update_elif,37,elif
"if root_id not in family_stats:
    family_stats[root_id] = (zone, unit_count)
else","if root_id not in family_stats:
    family_stats[root_id] = (zone, unit_count)
elif",1,7,"if [ROOT_VAR] not in [STATS_VAR]:
    [STATS_VAR][[ROOT_VAR]] = ([AREA_VAR], [COUNT_VAR])
else",stats_update_else,15,else
"if strategy == 'bfs':
    return bfs(start, seen, goal_test, steps)
elif strategy == 'dfs':
    return dfs(start, seen, goal_test, steps)
else","if strategy == 'bfs':
    return bfs(start, seen, goal_test, steps)
elif strategy == 'dfs':
    return dfs(start, seen, goal_test, steps)
elif",1,5,"if [STRATEGY_VAR] == 'bfs':
    return bfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
elif [STRATEGY_VAR] == 'dfs':
    return dfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
else",strategy_branch_else,29,else
"if root_id not in family_stats:
    family_stats[root_id] = (span, member_count)
else","if root_id not in family_stats:
    family_stats[root_id] = (span, member_count)
elif",1,7,"if [ROOT_VAR] not in [STATS_VAR]:
    [STATS_VAR][[ROOT_VAR]] = ([AREA_VAR], [COUNT_VAR])
else",stats_update_else,17,else
"if random.random() < 0.5:
    constraint_list.append(f""ML,{mate},{token}"")
elif","if random.random() < 0.5:
    constraint_list.append(f""ML,{mate},{token}"")
else",0,14,"if random.random() < 0.5:
    [OUT_VAR].append(f""ML,{[PEER_VAR]},{[ELEMENT_VAR]}"")
else",random_split_elif,38,elif
"if isl_constraint.is_equality():
    return check_expr == -coefficients['1']
else","if isl_constraint.is_equality():
    return check_expr == -coefficients['1']
elif",1,6,"if [CONSTRAINT_VAR].is_equality():
    return [Z3_VAR] == -[COEFF_VAR]['1']
else",equality_case_else,32,else
"if result:
    record = result
    return result
elif","if result:
    record = result
    return result
else",0,0,"if [RESULT_VAR]:
    [CACHE_VAR] = [RESULT_VAR]
    return [RESULT_VAR]
else",return_result_elif,3,elif
"if label_counts[value.topic] >= target_size:
    carry_nodes.append(value)
elif","if label_counts[value.topic] >= target_size:
    carry_nodes.append(value)
else",0,2,"if [COUNT_MAP][[NODE_VAR].topic] >= [TARGET_VAR]:
    [REDIST_LIST].append([NODE_VAR])
else",append_guard_elif,14,elif
"if (nums <= 32):
    return rank_nodes(value, total)
elif","if (nums <= 32):
    return rank_nodes(value, total)
else",0,8,"if ([NUM_VAR] <= [LIMIT]):
    return [FUNC_CALL]
else",inline_threshold_elif,24,elif
"if root_id not in family_stats:
    family_stats[root_id] = (area, household_count)
else","if root_id not in family_stats:
    family_stats[root_id] = (area, household_count)
elif",1,7,"if [ROOT_VAR] not in [STATS_VAR]:
    [STATS_VAR][[ROOT_VAR]] = ([AREA_VAR], [COUNT_VAR])
else",stats_update_else,0,else
"if root_id not in family_stats:
    family_stats[root_id] = (size, member_count)
else","if root_id not in family_stats:
    family_stats[root_id] = (size, member_count)
elif",1,7,"if [ROOT_VAR] not in [STATS_VAR]:
    [STATS_VAR][[ROOT_VAR]] = ([AREA_VAR], [COUNT_VAR])
else",stats_update_else,25,else
"if isl_constraint.is_equality():
    return constraint_sum == -coefs['1']
else","if isl_constraint.is_equality():
    return constraint_sum == -coefs['1']
elif",1,6,"if [CONSTRAINT_VAR].is_equality():
    return [Z3_VAR] == -[COEFF_VAR]['1']
else",equality_case_else,29,else
